Test Case ID,Test Scenario / Module,Test Case Description,Preconditions,Test Steps,Expected Result,Actual Result (to be filled during testing),Status (Pass/Fail/Blocked),Severity / Priority,Remarks
UI-001,UI/UX & Layout,Verify global header and hero area render correctly on first load,Deployed site reachable over HTTPS,"1) Open home page
2) Visually inspect header/hero","Header, title, and primary actions are visible and aligned",,,Medium / P2,
UI-002,UI/UX & Layout,Validate navigation links anchor-scroll to correct sections,Home loaded,"1) Click each nav link
2) Observe scroll target",Each link scrolls to the correct section with smooth behavior,,,High / P1,
UI-003,UI/UX & Typography,"Check font sizes, weights, and line-height consistency",Home loaded on desktop,"1) Inspect headings/body text
2) Compare to design tokens","Readable typography
 no truncation or overlaps",,,Medium / P2,
UI-004,UI/UX & Buttons,"Hover, focus, active states visible on all buttons",Home loaded,"1) Tab through buttons
2) Hover and click","Distinct visual states
 focus ring clearly visible",,,High / P1,
UI-005,UI/UX & Images,Images are responsive and preserve aspect ratio,Home loaded,"1) Resize viewport
2) Observe images in cards/sections","Images scale without distortion
 no overflow",,,Medium / P2,
UI-006,UI/UX & Tables,Truth tables scroll horizontally on small viewports,"Home loaded, small viewport","1) Set width to 375px
2) Inspect tables","Tables are scrollable
 no layout break",,,Medium / P2,
UI-007,UI/UX & Cards,"Cards have consistent padding, border, and shadow",Home loaded,"1) Inspect several cards
2) Compare spacing",Consistent spacing and elevation per style,,,Low / P3,
UI-008,Navigation,Back-to-top and in-page links work correctly,Home loaded,"1) Click back-to-top
2) Click intra-page anchors",Smooth scroll and correct target focus,,,Medium / P2,
UI-009,Theme & Colors,Color scheme meets brand and legibility standards,Home loaded,"1) Inspect color contrast
2) Check accent usage","Primary/secondary colors consistent
 no illegible text",,,Medium / P2,
RESP-010,Responsiveness,Layout stable on desktop (=1200px),DevTools open,"1) Set width 1440px
2) Scan page","No overflows
 grid aligns
 no excessive whitespace",,,High / P1,
RESP-011,Responsiveness,Layout stable on tablet (~768px),DevTools open,"1) Set width 768px
2) Scan sections","Navigation and content adapt
 no clipping",,,High / P1,
RESP-012,Responsiveness,Layout stable on mobile (375px),DevTools open,"1) Set width 375px
2) Scan all modules","All critical content accessible
 controls tappable",,,High / P1,
FUNC-013,Modals - Lab3,Open/close Lab3 modal via button and ESC,Home loaded,"1) Open Lab3 modal
2) Press ESC
3) Click outside","Modal opens
 ESC and backdrop close it
 focus returns",,,High / P1,Focus management required
FUNC-014,Modals - Lab4,"Open/close Lab4 modal
 trap focus within modal",Home loaded,"1) Open Lab4 modal
2) Tab cycles inside
3) Shift+Tab cycles back",Focus does not escape modal until closed,,,High / P1,Accessibility-critical
FUNC-015,K-Map (Lab5),Validate K-Map input accepts only 0/1/X,"Home loaded
 Lab5 section","1) Enter invalid chars
2) Enter 0/1/X","Invalid blocked
 valid accepted
 error styles shown for invalid",,,High / P1,Input validation
FUNC-016,K-Map (Lab5),Keyboard navigation between K-Map cells (arrows/Tab),Lab5 open,"1) Use Arrow keys
2) Use Tab/Shift+Tab",Focus moves to correct neighbor cells,,,High / P1,
FUNC-017,K-Map (Lab5),Fill with correct values action populates grid,Lab5 open,1) Click 'Fill Correct',Grid populated as per expected solution,,,Medium / P2,
FUNC-018,K-Map (Lab5),Clear K-Map action resets grid,Lab5 open,1) Click 'Clear',"All cells reset
 no residual focus styling",,,Medium / P2,
FUNC-019,K-Map (Lab5),Copy K-Map answer copies to clipboard (modern),Secure context (HTTPS),"1) Click 'Copy Answer'
2) Paste to editor",Copied text matches displayed answer,,,Medium / P2,Uses navigator.clipboard
FUNC-020,K-Map (Lab5),Copy fallback works when clipboard API unavailable,Simulate http/non-secure or block permission,"1) Trigger copy
2) Accept fallback",Fallback copies via textarea selection,,,Low / P3,Fallback path
FUNC-021,K-Map (Lab6),"Function H K-Map interactions work (validate, execute)",Lab6 open,"1) Input minterms
2) Validate
3) Execute","Valid input processed
 output rendered",,,High / P1,lab6-function-h-kmap.js
FUNC-022,Simplification (Lab6),Boolean simplification shows correct minimized form,Lab6 open,"1) Enter expression
2) Run simplify",Output matches expected simplification,,,High / P1,lab6-simplification.js
FUNC-023,Toolbar Sync,Toolbar buttons reflect state (enabled/disabled),Any lab open,"1) Perform actions
2) Observe button states",Buttons enabled only when applicable,,,Medium / P2,debouncedSync()
FUNC-024,Lab11 Counter,Start/Stop clock updates states and displays,Lab11 open,"1) Start clock
2) Stop clock","JK states and displays update
 stop halts updates",,,High / P1,lab11-modal.js
FUNC-025,Lab11 Counter,Single pulse advances state by one,"Lab11 open, stopped",1) Click Single Pulse,State advances exactly one step,,,High / P1,Deterministic
FUNC-026,Lab11 Clock,Updating frequency changes tick rate,Lab11 running,1) Change frequency slider/input,Visible tick rate changes accordingly,,,Medium / P2,
FUNC-027,Lab11 Displays,Seven-segment and LED outputs reflect state,Lab11 running,1) Observe displays across cycles,Displays match JK counter state,,,Medium / P2,
FUNC-028,Tooltips,Enhanced tooltips show/hide with correct content,Home loaded,"1) Hover info icons
2) Check text","Helpful text appears
 hides on blur",,,Low / P3,
FUNC-029,Sections Toggle,K-Map navigation shows one section at a time,Lab11 section,1) Click K-Map tabs/buttons,"Only active section visible
 others hidden",,,Medium / P2,
FUNC-030,Service Worker,SW registers successfully and activates,First secure load,"1) Open DevTools
2) Application > Service Workers","Registered, running
 no errors",,,High / P1,sw.js
FUNC-031,Offline Mode,Offline page served when network is down,SW installed,"1) Go offline
2) Reload page",Offline experience loads (offline.html),,,High / P1,PWA
ACC-032,Alt Text,All informative images have meaningful alt,Home loaded,1) Inspect <img> elements,Alt present and descriptive,,,High / P1,
ACC-033,Keyboard Only,Site fully operable via keyboard,Home loaded,1) Navigate with Tab/Enter/Space/Arrows,All interactive elements reachable and usable,,,High / P1,
ACC-034,Focus Visible,Focus ring visible and non-obstructive,Home loaded,1) Tab through controls,Visible focus indicator on each element,,,High / P1,
ACC-035,ARIA Roles,Appropriate ARIA roles/labels present where needed,Home loaded,1) Inspect with AXE/DevTools,ARIA used correctly (no misuse or noise),,,Medium / P2,
ACC-036,Contrast,Color contrast = 4.5:1 for text,Home loaded,1) Test with contrast tool,All text passes contrast requirements,,,High / P1,
ACC-037,Modal A11y,Modal announces and traps focus until closed,Modal open,"1) Use screen reader
2) Tab cycle","Modal labeled
 ESC closes
 focus returns",,,High / P1,
ACC-038,Semantic HTML,"Headings follow logical order
 landmarks defined",Home loaded,1) Inspect DOM,"h1-h2-h3 hierarchy logical
 regions identifiable",,,Medium / P2,
ACC-039,Screen Reader,Key flows usable with NVDA/JAWS/VoiceOver,SR installed,1) Navigate core flows,"SR announces labels, states, and feedback",,,High / P1,
PERF-040,First Load,First contentful paint performant,Clean cache,1) Lighthouse run,"FCP within target (=2.0s desktop, =3.0s mobile)",,,High / P1,Targets adjustable
PERF-041,Preload,Only critical scripts preloaded,Deployed build,"1) Inspect network
2) Check <link rel=preload>",Only platformPreloader is preloaded (no unused preloads),,,Medium / P2,Fixed previously
PERF-042,Lazy Loading,Non-critical images lazy-load if applicable,Deployed build,"1) Scroll page
2) Observe network",Below-the-fold assets load on demand,,,Medium / P2,
PERF-043,Caching,Static assets cached appropriately,SW active,"1) Refresh twice
2) Inspect cache storage","Expected assets cached
 no stale critical files",,,High / P1,
PERF-044,Offline Load,Loads quickly when offline (from cache),"SW active, offline","1) Toggle offline
2) Reload",Page/essential assets served from cache,,,High / P1,
PERF-045,Console Noise,"No errors
 warnings minimized",Deployed build,"1) Open console
2) Use site","No errors
 only expected info logs",,,Medium / P2,
XBR-046,Chrome,Smoke test full flow in Chrome latest,Chrome latest,1) Execute regression suite,All critical flows pass,,,High / P1,
XBR-047,Firefox,Smoke test full flow in Firefox latest,Firefox latest,1) Execute regression suite,All critical flows pass,,,High / P1,
XBR-048,Safari,Smoke test full flow in Safari latest (macOS/iOS),Safari,1) Execute regression suite,All critical flows pass,,,High / P1,Touch/scroll checks
XBR-049,Edge,Smoke test full flow in Edge latest,Edge latest,1) Execute regression suite,All critical flows pass,,,High / P1,
SEC-050,HTTPS,"Site enforces HTTPS
 HSTS by host",Deployed,1) Load http:// URL,"Redirects to HTTPS
 no mixed content",,,High / P1,
SEC-051,Mixed Content,No mixed content warnings,Deployed,"1) Open console
2) Browse all sections",No mixed content errors,,,High / P1,
SEC-052,External Links,External links use noopener noreferrer,Deployed,1) Inspect external anchors,"rel=
oopener noreferrer\"" present""",,,Low / P3,SEO benefit too
SEC-053,Headers (Meta),"Meta security headers present (nosniff, XSS, referrer)",Deployed,1) Inspect head meta,Required meta present as configured,,,Medium / P2,index head
SEC-054,Inputs Sanitization,Inputs restrict values appropriately,Deployed,1) Try script/html in inputs,"Invalid rejected
 no script execution",,,High / P1,K-Map inputs
SEC-055,SW Scope,Service worker scope limited to site,SW registered,1) Check scope in DevTools,Scope limited to expected path,,,Medium / P2,
SEO-056,Meta Tags,"Title, description, keywords present and accurate",Deployed,"1) View-source
2) Verify content","Meta present
 no duplicates
 accurate content",,,Medium / P2,
SEO-057,OpenGraph,OG and Twitter cards configured,Deployed,1) Scrape with debugger,Correct image/title/desc populated,,,Medium / P2,
SEO-058,Sitemap,sitemap.xml accessible and valid,Deployed,1) GET /sitemap.xml,200 OK and valid XML,,,Low / P3,
SEO-059,Robots,robots.txt accessible and correct,Deployed,1) GET /robots.txt,"200 OK
 allows crawling (except disallowed)",,,Low / P3,
SEO-060,Canonical,Canonical URL present and correct,Deployed,1) Inspect <link rel=canonical>,Canonical points to primary domain,,,Low / P3,
SEO-061,Semantic,Sections/headings are semantic,Deployed,1) Inspect DOM,Landmarks/headings meaningful,,,Low / P3,
ANL-062,Analytics Init,Analytics tag present (if required),Deployed,1) Inspect head/network,"If configured, GA4 fires
 else N/A",,,Low / P3,Project may omit GA
ANL-063,Analytics Events,Key events fire (if analytics enabled),Analytics enabled,"1) Interact with modules
2) Check network",Custom events recorded as designed,,,Low / P3,Optional
ERR-064,404 Page,Custom 404 page rendered for unknown routes,Deployed,1) Visit /non-existent,"Friendly 404 shown
 link to home",,,Medium / P2,On static hosting
ERR-065,Missing Assets,No 404s for referenced images/scripts,Deployed,"1) Open console
2) Browse all labs","No 404s
 all assets load",,,High / P1,Fixed PNG case
ERR-066,Form Errors,Invalid entries produce helpful messages,Deployed,1) Enter invalid K-Map values,"Clear, non-technical error feedback",,,Medium / P2,
CNT-067,Spelling/Grammar,Random sample of sections free of typos,Deployed,1) Review text across modules,"No typos
 consistent terminology",,,Low / P3,
CNT-068,Content Accuracy,K-Map and simplification examples correct,Deployed,1) Cross-check with syllabus,Outputs match academic expectations,,,High / P1,SME review
CNT-069,Progress/Guidance,User guidance and steps are clear,Deployed,1) Follow lab steps,"Instructions unambiguous
 helpful CTAs",,,Medium / P2,
PWA-070,Installability,App is installable (manifest + SW),Deployed,"1) Lighthouse PWA
2) Check install prompt","Install prompt available
 manifest valid",,,Medium / P2,
PWA-071,Icons,App icons load at all sizes,Deployed,1) Inspect manifest icons,All icon sizes load without 404,,,Low / P3,
MEDIA-072,Video/Audio,Any multimedia controls function,If media present,1) Play/Pause/Seek,"Controls responsive
 no autoplay w/o user intent",,,Low / P3,
INT-073,Debounce/Throttle,Rapid interactions don’t cause glitches,Deployed,1) Spam clicks/inputs,"UI remains responsive
 no console errors",,,Medium / P2,debouncedSync
INT-074,Clipboard Permissions,Clipboard prompts handled gracefully,HTTPS,"1) Trigger copy
2) Deny permission","Friendly messaging
 no crash",,,Low / P3,
INT-075,Deep Links,Direct URL anchors open correct section,Deployed,1) Load with #hash,Correct section focused/visible,,,Medium / P2,
INT-076,Retry Logic,Background sync/retry (if applicable),SW active,1) Trigger sync failure,Graceful retry/backoff or safe no-op,,,Low / P3,Optional
SEC-077,Referrer Policy,Referrer Policy meta effective,Deployed,1) Inspect network requests,No full referrers to third-party when restricted,,,Low / P3,
SEC-078,No Sensitive Data,No secrets or tokens in source,Deployed,1) Search source,No keys/tokens found,,,High / P1,
LOG-079,Error Logging,Errors surfaced in console (none expected),Deployed,1) Force edge cases,"Handled gracefully
 minimal logs",,,Low / P3,
UX-080,Touch Targets,Buttons/links meet 44x44px on mobile,375px width,1) Attempt tap interactions,"No accidental taps
 adequate spacing",,,High / P1,
UX-081,Scroll Restoration,Back navigation restores scroll position,Deployed,"1) Navigate anchors
2) Back",Scroll position restored or logical,,,Low / P3,
UX-082,Loading State,Perceived loading feedback visible when needed,Fresh load,"1) Throttle network
2) Observe first paint","Preloader shows
 content transitions smoothly",,,Medium / P2,platformPreloader
QA-083,Broken Links,Automated crawl finds no broken links,Deployed,1) Run link checker,0 broken links reported,,,High / P1,
SEO-084,Lang Attribute,html lang attribute correctly set,Deployed,1) Inspect <html lang>,lang="en" present (or locale),,,Low / P3,
SEO-085,Favicons,Favicons/manifest served with correct MIME,Deployed,1) Inspect network types,All icons served with correct types,,,Low / P3,
A11Y-086,Resize Text,Zoom 200% retains functionality,Deployed,1) Zoom to 200%,All features operable without horizontal scroll,,,High / P1,WCAG 1.4.4
A11Y-087,Motion Sensitivity,No unexpected motion/auto-animate,Deployed,1) Interact with UI,No parallax/auto animations causing issues,,,Low / P3,
SEC-088,Clickjacking,Site not embedded in iframes (policy),Deployed,1) Try embed in iframe,Embedding blocked by policy or not used,,,Low / P3,Meta header
CACHE-089,SW Update,New deploy updates cached assets,Existing SW,"1) Refresh hard
2) Check version",New assets served after update cycle,,,Medium / P2,
UX-090,Error Messages,User-facing errors are friendly,Trigger validation,1) Enter invalid inputs,Plain-language guidance displayed,,,Medium / P2,
FUNC-091,Lab Script Loader,Correct lab scripts load on demand,Deployed,"1) Open each lab
2) Observe network","Only relevant scripts fetched
 no 404",,,High / P1,scriptLoader
MEDIA-092,SVG Rendering,Inline/linked SVGs render correctly,Deployed,1) Inspect SVGs,"SVGs crisp
 no CORS errors",,,Low / P3,
A11Y-093,Tab Order,Logical tab order across page,Deployed,1) Tab across,Order follows visual flow,,,High / P1,
SEC-094,CSP (If any),Content Security Policy doesn’t block features,If CSP added,1) Inspect console,No CSP violations for required assets,,,Low / P3,Optional
SEO-095,Meta Robots,Robots meta allows indexing,Deployed,1) Inspect meta robots,"index, follow present unless staging",,,Low / P3,
BUILD-096,File Case,Asset references match on case-sensitive hosts,Deployed,1) Browse critical pages,No case-related 404s,,,High / P1,Case fixed
PERF-097,Bundle Size,Total JS kept minimal for SPA,Deployed,"1) Lighthouse
2) WebPageTest",JS size within acceptable range,,,Medium / P2,
UX-098,Touch Scroll,Scroll inertia/locking feels natural on mobile,Mobile device,1) Scroll sections,"No scroll-jank
 sticky elements behave",,,Low / P3,
ERR-099,Graceful Degradation,"If JS disabled, basic content visible",Disable JS,1) Reload page,"Core content visible, graceful messaging",,,Low / P3,
SEO-100,Social Share,OG/Twitter previews render nicely,Deployed,1) Use sharing debugger,Correct preview card,,,Low / P3,
